sample_index,publication_id,reference_id,reference_order,source_doi,hidden_doi,parser,parsed_title,parsed_journal,parsed_year,parsed_authors,query_mode,query,trdizin_title_status,trdizin_id,target_doi,target_crossref_status,target_crossref_doi,target_title,target_year,target_journal,target_journal_code,target_doc_type,confidence,title_similarity,title_coverage,title_token_count,year_match,journal_similarity,author_coverage,self_match,context
676,1199489,17914564,11,,,apa,Language models are few-shot learners,Advances in neural information processing systems,2020,"Brown, T., Mann, B., Ryder, N., Subbiah, M., Kaplan, J",title_full,Language models are few shot learners,no_match,256664,,no_doi,,PEDAGOJİKFORMASYON ALAN ÖĞRETMEN ADAYLARININ KONUŞMA KAYGILARI,2015,Turkish Studies (Elektronik),664,PAPER,0.1687,0.2921,0.0,6,False,0.24,0.0,False,"[11] Brown, T., Mann, B., Ryder, N., Subbiah, M., Kaplan, J. D., Dhariwal, P., ... & Amodei, D. (2020). Language models are few-shot learners. Advances in neural information processing systems, 33, 1877-1901."
722,1354587,24787496,9,,,apa,Hastane işletmelerinde içsel pazarlama yaklaşımının iş tatmini ve örgütsel bağlılık üzerine etkisi: Isparta ili örneği,*Hacettepe Sağlık İdaresi Dergisi*,2010,"(9) Büyüker İşler, D., & Özdemir, Ş",,,no_match,,,,,,,,,,,,,,,,,,"(9) Büyüker İşler, D., & Özdemir, Ş. (2010). Hastane işletmelerinde içsel pazarlama yaklaşımının iş tatmini ve örgütsel bağlılık üzerine etkisi: Isparta ili örneği. *Hacettepe Sağlık İdaresi Dergisi*, 13(2), 115-142."
730,1374156,25582168,83,,,volume_pages,"(2018), Göç, Sosyal Değişme ve Din",Diyanet Dergisi,2018,"Taştan, A",title_full_year,2018 Göç Sosyal Değişme ve Din,no_match,276400,,no_doi,,MülteciÖğrencilere Sunulan Eğitim-Öğretim Hizmetinin Sosyal Bilgiler Öğretmen Görüşlerine Göre Değerlendirilmesi,2018,Anadolu Journal of Educational Sciences International ,1137,PAPER,0.3323,0.2535,0.2,5,True,0.2353,0.0,False,"Taştan, A. (2018), Göç, Sosyal Değişme ve Din. Diyanet Dergisi, 328, 10-13."
749,1347808,24520732,9,,,quoted,"Emeviler Döneminde ve Abbasilerin İlk Dönemlerinde İran, Horasan ve Mâverâünnehir","deki Mezhebi ve Milliyetçi Hareketler"" çev",2006,"Daftary, Farhad",,,no_match,,,,,,,,,,,,,,,,,,"Daftary, Farhad. ""Emeviler Döneminde ve Abbasilerin İlk Dönemlerinde İran, Horasan ve Mâverâünnehir’deki Mezhebi ve Milliyetçi Hareketler"" çev. Mehmet Atalan. Kelam Araştırmaları. 4/2 (2006), s139-158."
757,1194699,17600528,9,,,vancouver,Are of osteomeatal complex variations related to nasolacrimal canal morphometry,Iran J Otorhinolaryngol,2022,"Khojastepour L, Dokohaki S, Paknahad M",title_full,Are of osteomeatal complex variations related to nasolacrimal canal morphometry,no_match,45090,,no_doi,,Nazolakrimalkanal varyasyonlarının görüntülenmesinde bilgisayarlı tomografi,2004,Şişli Etfal Hastanesi Tıp Bülteni,156,PAPER,0.1429,0.2411,0.0,8,False,0.25,0.0,False,"9. Khojastepour L, Dokohaki S, Paknahad M. Are of osteomeatal complex variations related to nasolacrimal canal morphometry. Iran J Otorhinolaryngol. 2022;34:17–26."
773,1274029,21126083,14,,,apa,Termal turizmde farklı bir destinasyon: jeoturizm (Afyonkarahisar Örneği). ZfWT,8 (1,2016,"Ekiz, E., Yazıcı, H",,,no_match,,,,,,,,,,,,,,,,,,"Ekiz, E., Yazıcı, H. (2016). Termal turizmde farklı bir destinasyon: jeoturizm (Afyonkarahisar Örneği). ZfWT. 8 (1), 67-81. Erişim adresi: https://zfwt.org/admin/files/issues/807-3364-1-PB.pdf"
791,1279484,21381409,65,,,apa,Measurement and evaluation of satisfaction process in retail setting,Journal of Retailing,1981,"Oliver, R",,,no_match,,,,,,,,,,,,,,,,,,"Oliver, R. L. (1981). Measurement and evaluation of satisfaction process in retail setting. Journal of Retailing, 57(3), 25-48."
845,1284850,21688021,42,,,apa,İstanbul’da Yaşlılık ve Yaşlılığın Yapısal Değişim,Yıldız Sosyal Bilimler Enstitüsü Dergisi,2018,"Müftüler, H",title_full_year,İstanbulda Yaşlılık ve Yaşlılığın Yapısal Değişim,no_match,329872,10.9775/kausbed.2018.037,not_checked,,GENÇLİKTENYAŞLILIĞA SPORUN DEĞİŞEN ANLAMI,2018,Kafkas Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,794,PAPER,0.4479,0.4878,0.0,5,True,0.7742,0.0,False,"Müftüler, H. (2018). İstanbul’da Yaşlılık ve Yaşlılığın Yapısal Değişim. Yıldız Sosyal Bilimler Enstitüsü Dergisi, 2(1), 58-80."
862,1298874,23246682,38,,,vancouver,Mobbing ve çalışan performansı arasındaki ilişkiyi belirlemeye yönelik bir araştırma,Journal of Academıc Approaches,2016,Duman Ç,,,no_match,,,,,,,,,,,,,,,,,,"Duman Ç. M., Akdemir B. Mobbing ve çalışan performansı arasındaki ilişkiyi belirlemeye yönelik bir araştırma. Journal of Academıc Approaches. 2016;7:29–52."
868,1378338,25713700,38,,,apa,Integrated skills in the ESL/EFL classrooms,ESL Magazine,2001,"Oxford, R",title_full,Integrated skills in the ESL EFL classrooms,no_match,318135,,no_doi,,Stakeholdersviews about the FATIH Project: Smart EFL classrooms,2018,Journal of Language and Linguistic Studies,1431,PAPER,0.3514,0.4952,0.4,5,False,0.0833,0.0,False,"Oxford, R. (2001). Integrated skills in the ESL/EFL classrooms. ESL Magazine, 6(1), 5–12."
886,1285611,21734771,19,,,apa,Investigating the effectiveness of virtual labs in engineering education: A case study of chemical engineering courses,Journal of Chemical Engineering Education,2022,"Wang, Y., & Jiang, F",,,no_match,,,,,,,,,,,,,,,,,,"Wang, Y., & Jiang, F. (2022). Investigating the effectiveness of virtual labs in engineering education: A case study of chemical engineering courses. Journal of Chemical Engineering Education, 56(3), 267-281."
897,1343427,24349111,51,,,apa,Rough Set Model for Discovering Hybrid Association Rules,International Journal of Computer Science and Network Security (IJCSNS,2009,"Pandey, A",,,no_match,,,,,,,,,,,,,,,,,,"Pandey, A. & Pardasani, K.R. (2009). Rough Set Model for Discovering Hybrid Association Rules. International Journal of Computer Science and Network Security (IJCSNS), 9(6), 159-164."
905,1243562,19864155,9,,,apa,Becoming a self-regulated learner: Implications for web-based education,"Web-based learning: Theory, research, and practice",2006,"Dembo, M",,,no_match,,,,,,,,,,,,,,,,,,"Dembo, M. H., Junge, L. G., & Lynch, R. (2006). Becoming a self-regulated learner: Implications for web-based education. Web-based learning: Theory, research, and practice, 185-202."
907,1232495,19545887,22,,,vancouver,Hastaların hemşirelik bakımını algılayış düzeylerinin belirlenmesi,Göller Bölgesi Aylık Hakemli Ekonomi ve Kültür Dergisi,2018,"Yılmaz F, Şentürk S, Yalçın P, Başoğlu S",,,no_match,,,,,,,,,,,,,,,,,,"22. Yılmaz F, Şentürk S, Yalçın P, Başoğlu S. Hastaların hemşirelik bakımını algılayış düzeylerinin belirlen- mesi. Göller Bölgesi Aylık Hakemli Ekonomi ve Kültür Dergisi. 2018;5(59):61-66."
910,1193991,17572838,4,,,apa,Wavelet transform based classification of invasive brain computer interface data,Radioengineering,2011,"Aydemir, O., & Kayikcioglu, T",,,no_match,,,,,,,,,,,,,,,,,,"Aydemir, O., & Kayikcioglu, T. (2011). Wavelet transform based classification of invasive brain computer interface data. Radioengineering, 20, 31-38."
931,1279858,21406539,77,,,apa,Örgütsel Bağlılık ile Örgütsel Sapma Davranışı Arasındaki İlişki: Banka Çalışanlarına Yönelik Bir Araştırma,Economics Business and Organization Research,2019,"Uğur, S",,,no_match,,,,,,,,,,,,,,,,,,"Uğur, S. S. (2019). Örgütsel Bağlılık ile Örgütsel Sapma Davranışı Arasındaki İlişki: Banka Çalışanlarına Yönelik Bir Araştırma. Economics Business and Organization Research, 1(1), 85-96."
983,1200617,17899190,14,,,vancouver,Theorien und Konzepte zu Agilität in Organisationen,In: Dresdner Beiträge zur Wirtschaftsinfor-matik,2014,"Förster K, Wendler R",,,no_match,,,,,,,,,,,,,,,,,,"[14] Förster K, Wendler R. Theorien und Konzepte zu Agilität in Organisationen. In: Dresdner Beiträge zur Wirtschaftsinfor-matik. 2014; 12: 2-20."
988,1289048,22678128,23,,,apa,Ahmet Ağaoğlu ve “Nizamlı Hürriyet”: Bir Cumhuriyetçi Yorum Denemesi,"Doğu-Batı, (57",2011,"Erozan, B",,,no_match,,,,,,,,,,,,,,,,,,"Erozan, B. (2011). Ahmet Ağaoğlu ve “Nizamlı Hürriyet”: Bir Cumhuriyetçi Yorum Denemesi. Doğu-Batı, (57), 197-225."
989,1378079,25706245,3,,,loose_year,"Neurological Disorders Collaborator Group. Global, regional, and national burden of neurological disorders during 1990-2015: a systematic analysis for the Global Burden of Disease Study 2015. Lancet Neurol",2017 Nov,2015,GBD,,,no_match,,,,,,,,,,,,,,,,,,"3.GBD 2015 Neurological Disorders Collaborator Group. Global, regional, and national burden of neurological disorders during 1990-2015: a systematic analysis for the Global Burden of Disease Study 2015. Lancet Neurol. 2017 Nov;16(11):877-897. [Crossref]"
1021,1270447,20948084,19,,,apa,Evaluation of the effects of self-care capacity on healthy life style behaviors in risky pregnant,Perinatal Journal,2007,"Karaca Saydam, B., Bozkurt, O",,,no_match,,,,,,,,,,,,,,,,,,"Karaca Saydam, B., Bozkurt, O. D., Hadımlı, A. P., Can, H. O., & Soğukpınar, N. (2007). Evaluation of the effects of self-care capacity on healthy life style behaviors in risky pregnant. Perinatal Journal, 15(3), 131-139."
1023,1160014,16027351,8,,,apa,Modernleşme dönemi Türk romanında evden kaçan ve eve sığınan kadınlar,Electronic Turkish Studies,2013,"Karaca, Ş",,,no_match,,,,,,,,,,,,,,,,,,"Karaca, Ş. (2013). Modernleşme dönemi Türk romanında evden kaçan ve eve sığınan kadınlar. Electronic Turkish Studies, 8(1), 1817-1827."
1060,1191520,17428527,14,,,apa,Yeni nesil web paradigması: Web 4.0,Bilgisayar Bilimleri ve Teknolojileri Dergisi,2020,"Ersöz, B",title_salient,Yeni nesil web paradigması Web,no_match,109977,,no_doi,,Yenieğitim paradigması olarak e-öğrenme 2.0 ve satış elemanlarının eğitiminde kullanımı,2010,Çukurova Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,424,PAPER,0.3195,0.3802,0.4,5,False,0.4835,0.0,False,"Ersöz, B. (2020). Yeni nesil web paradigması: Web 4.0. Bilgisayar Bilimleri ve Teknolojileri Dergisi, 1(2), 58-65."
1081,1368301,25371583,48,,,apa,Afet yönetimi eğitimi niçin gerekli?,Erciyes Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,2019,"Şengün, H., & Küçükşen, M",title_full,Afet yönetimi eğitimi niçin gerekli,no_match,1201250,10.35341/afet.1252364,not_checked,,HalkKütüphanelerinde Afet Risk Yönetimi,2023,Afet ve Risk Dergisi,2593,PAPER,0.3238,0.3582,0.5,5,False,0.3939,0.0,False,"Şengün, H., & Küçükşen, M. (2019). Afet yönetimi eğitimi niçin gerekli?. Erciyes Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 33(46), 193-211."
1139,1328845,23757725,14,,,apa,Okul yöneticileri nasıl konuşuyor? Öğretmenlerin gözünden bir değerlendirme,Uluslararası Yönetim ve Sosyal Araştırmalar Dergisi,2022,"Boyacıoğlu, B., & Güneyli, A",,,no_match,,,,,,,,,,,,,,,,,,"Boyacıoğlu, B., & Güneyli, A. (2022). Okul yöneticileri nasıl konuşuyor? Öğretmenlerin gözünden bir değerlendirme. Uluslararası Yönetim ve Sosyal Araştırmalar Dergisi, 9(18), 27-50."
1140,1328845,23757728,17,,,apa,Okul yöneticilerinin okul içi tutum ve davranışlarının öğretmenlerin sınıf yönetimi başarısına etkisi,Eğitim ve Öğretim Araştırmaları Dergisi,2023,"Can, E., & Çınar, C",,,no_match,,,,,,,,,,,,,,,,,,"Can, E., & Çınar, C. (2023). Okul yöneticilerinin okul içi tutum ve davranışlarının öğretmenlerin sınıf yönetimi başarısına etkisi. Eğitim ve Öğretim Araştırmaları Dergisi, 12(2), 53-67."
