sample_index,publication_id,reference_id,reference_order,query_mode,pmid,europepmc_status,europepmc_id,europepmc_source,europepmc_doi,europepmc_title,europepmc_year,europepmc_journal,confidence,title_coverage,title_similarity,title_token_count,author_coverage,year_match,request_key,query,context
1633,1336609,24085890,73,cleaned_context,,no_match,PMC11706502,PMC,,"Research in Psychotherapy: Psychopathology, Process and Outcome",2018,Res Psychother,0.295,0.4,0.375,5,0.0,False,"query:Ruiz, F. J. (2010). A review of Acceptance and Commitment Therapy (ACT) empirical evidence: Correlational, experimental psychopathology, component, and outcome studies. Int J Psychol Psychol Ther, 10(1), 125–162","Ruiz, F. J. (2010). A review of Acceptance and Commitment Therapy (ACT) empirical evidence: Correlational, experimental psychopathology, component, and outcome studies. Int J Psychol Psychol Ther, 10(1), 125–162","Ruiz, F. J. (2010). A review of Acceptance and Commitment Therapy (ACT) empirical evidence: Correlational, experimental psychopathology, component, and outcome studies. Int J Psychol Psychol Ther, 10(1), 125–162."
1658,1246572,20297786,13,not_checked,,no_match,,,,,,,,,,,,,,,"13. Yang LC, Zhang RT, Guo LJ, Xiao H, Zu LY, Zhang YY, et al. Hypoxia and inflammation are risk factors for acute myocardial injury in patients with coronavirus disease 2019. Beijing Da Xue Xue Bao Yi Xue Ban. 2020;53(1):159-66. Chinese."
1848,1331202,23862737,18,title,,no_match,42295756,MED,10.1001/jamanetworkopen.2026.19291,"Emerging Patterns in Dietary Supplement Use Among US Adults, 1999-2023.",2026,JAMA Netw Open,0.1185,0.1111,0.2871,9,0.0,False,query:24(3):69-71 2012,24(3):69-71 2012,18. Mukaka MM. Statistics corner: A guide to appropriate use of correlation coefficient in medical research. Malawi Med J. 2012;24(3):69-71.
1850,1323195,23521413,12,title,,strong,18447098,MED,,Hypertension knowledge among patients from an urban clinic.,2008,Ethn Dis,1.0,1.0,1.0,6,1.0,True,"query:TITLE:""Hypertension knowledge among patients from an urban clinic""","TITLE:""Hypertension knowledge among patients from an urban clinic""","Sanne S, Muntner P, Kawasaki L, Hyre A, DeSalvo KB. Hypertension knowledge among patients from an urban clinic. Ethn Dis 2008,18:42-7."
2129,1250480,20103882,8,title,,no_match,42182036,MED,10.3389/fmicb.2026.1816478,"Evolutionary trends and genetic determinants of third-generation cephalosporin resistance in &lt;i&gt;Escherichia coli&lt;/i&gt; from Korean livestock: a 14-year longitudinal study, 2010-2023.",2026,Front Microbiol,0.073,0.0625,0.1933,16,0.0,False,query:14(1): 35-8 2010,14(1): 35-8 2010,"8. Aygün C, Bahçecioğlu İ.H. Solitary rectal ulcer syndrome. [Güncel Gastroenteroloji] 2010;14(1): 35-8."
2350,1276318,21227674,12,title,,no_match,42298836,MED,10.1080/10872981.2026.2687304,"Coaching in undergraduate and graduate medical education: a scoping review of success factors, barriers, and outcomes.",2026,Med Educ Online,0.0576,0.0,0.2878,10,0.0,False,query:3(4):159–63 2013,3(4):159–63 2013,"12. Robati R, Farokhi M. Evaluation the dentists' awareness of inherited bleeding disorders and anticoagulants in Shiraz. Iran J Ped Hematol Oncol 2013; 3(4):159–63."
2433,1335040,24020047,142,not_checked,,no_match,,,,,,,,,,,,,,,"AiniSyuhaida, A.W., Sharifah Norkhadijah, S.I., Emilia, Z.A. & Sarva Mangala, P. (2014). Neptuniaoleracea (water mimosa) as phytoremediation plant and the risk to human health: A review. Adv. Environ. Biol., 8(15), 187-194."
2738,1235150,19495118,17,title,,no_match,41141968,MED,10.1016/j.bas.2025.105630,Long term clinical and MRI follow-up of 76 patients after synovial cyst resection via microscopic hemilaminectomy: a retrospective study.,2025,Brain Spine,0.0845,0.1429,0.0294,14,0.0,False,query:25(8):3316-24 2021,25(8):3316-24 2021,"17. Hernandez MI, Picconi O, Laganà AS, Costabile L, Unfer V. A multicenter clinical study with myo-inositol and alpha-lactalbumin in Mexican and Italian PCOS patients. Eur Rev Med Pharmacol Sci. 2021;25(8):3316-24."
2840,1359754,25273541,15,title,,no_match,42141889,MED,10.2807/1560-7917.es.2026.31.15.2500919,"Surveillance and vaccine effectiveness of pertussis, the Netherlands, 2012 to 2024, with an unprecedented surge in 2023 and 2024.",2026,Euro Surveill,0.113,0.0909,0.3151,11,0.0,False,query:1(2):91-8 2012,1(2):91-8 2012,"15. Manafi A, Kaviani Far K, Moradi M, Manafi A, Manafi F. Effects of platelet-rich plasma on cartilage grafts in rabbits as an animal model. World J Plast Surg. 2012;1(2):91-8."
2909,1284975,21711825,15,title,,no_match,42222022,MED,10.3897/zookeys.1280.188887,"Three new &lt;i&gt;Hutufeideria&lt;/i&gt; Hirschmann &amp; Hiramatsu, 1977 from Southeast Asia, with the description of Hutufeideriidae fam. nov. (Acari, Mesostigmata).",2026,Zookeys,0.1031,0.0714,0.3191,14,0.0,False,query:81(2):203-11 1977,81(2):203-11 1977,"15. Durst AL, Freund H, Rosenmann E, Birnbaum D. Mesenteric panniculitis: review of the leterature and presentation of cases. Surgery. 1977;81(2):203-11."
3289,1222896,18876330,20,pmid,22765483,strong,22765483,MED,,The clinical profile of musculoskeletal injuries associated with the 2011 Van earthquake in Turkey.,2012,Eklem Hastalik Cerrahisi,1.0,1.0,1.0,9,1.0,True,pmid:22765483,22765483,"20. Görmeli G, Görmeli CA, Güner S, Ceylan MF, Dursun R. The clinical profile of musculoskeletal injuries associated with the 2011 Van earthquake in Turkey. Eklem Hastalik Cerrahisi. 2012;23(2):68-71. PMID: 22765483"
3430,1244921,19865975,6,pmid,18236639,strong,18236639,MED,,Unilateral laryngeal and hypoglossal paralysis (Tapia's syndrome) following rhinoplasty in general anaesthesia: case report and review of the literature.,2006,Acta Otorhinolaryngol Ital,1.0,1.0,1.0,13,1.0,True,pmid:18236639,18236639,"6. Tesei F, Poveda LM, Strali W, Tosi L, Magnani G, Farneti G. Unilateral Laryngeal and Hypoglossal Paralysis (Tapia's Syndrome) Following Rhinoplasty in General Anaesthesia: Case Report and Review of the Literature. Acta Otorhinolaryngol Ital 2006;26(4):219-21. PMID: 18236639; PMCID: PMC2640002."
3442,1301594,22442024,11,not_checked,,no_match,,,,,,,,,,,,,,,"11. Green LA, Phillips RL, Fryer GE, et al. The nature of primary medical care. In: Jones R, Britten N, Culpepper L, et al., editors. Oxford Textbook of Primary Medical Care. 1st ed. New York: Oxford University Press; 2004:3-10."
3594,1375142,26090205,36,title,,no_match,42228617,MED,10.15585/mmwr.ss7502a1,"Brucellosis Surveillance - United States, 2010-2024.",2026,MMWR Surveill Summ,0.1087,0.1667,0.0849,6,0.0,False,query:51(1):1–5 2010,51(1):1–5 2010,"[36] Banasiak B, Smolewska E, Zygmunt A, Lipińska J, Biernacka- Zielińska M, Stańczyk J. Coping with anxiety and pain by adolescents with juvenile idiopathic arthritis. Clinical Experimental Medicine Letters. 2010;51(1):1–5."
3609,1316988,23939758,7,title,,no_match,PPR295573,PPR,10.2139/ssrn.3785824,Uluslararası Ticaret Hukuku Temelinde Ticaret Politikası Savunma Araçlarına Genel Bir Bakış (General View of the Trade Defence Intruments in International Trade Law),2021,,0.046,0.0,0.2302,18,0.0,False,query:tarihli Resmi Gazete’de 2000,tarihli Resmi Gazete’de 2000,"7. Radyasyon Güvenliği Yönetmeliği, 23999 sayılı 24.3.2000 tarihli Resmi Gazete’de. [CrossRef]"
3643,1249970,20094206,8,title,,strong,20102070,MED,,The occupational safety and health in hospitals from the point of nurses.,2009,Coll Antropol,1.0,1.0,1.0,6,1.0,True,"query:TITLE:""The Occupational Safety and Health in Hospitals from the Point of Nurses""","TITLE:""The Occupational Safety and Health in Hospitals from the Point of Nurses""","Bahçecik, N. ve Öztürk, H. (2009). The Occupational Safety and Health in Hospitals from the Point of Nurses. Collegium Antropologicum, 33(4), 1208–1209."
3812,1284085,21649579,77,not_checked,,no_match,,,,,,,,,,,,,,,"Yağcı, İ., Perincek, G. ve Kıvrak, Y. (2019). Sigara bırakma polikliniğine başvuran kişilerde d tipi kişilik, dürtüsellik, çocukluk çağı travmaları, anksiyete ve depresyon düzeyleri. Ankara Medical Journal, 19(3), 582-590."
3870,1178762,16809544,2,title,,strong,18360577,MED,,Ibandronate: the first once-monthly oral bisphosphonate for treatment of postmenopausal osteoporosis.,2006,Ther Clin Risk Manag,1.0,1.0,1.0,9,1.0,True,"query:TITLE:""Ibandronate: the first once-monthly oral bisphosphonate for treatment of postmenopausal osteoporosis""","TITLE:""Ibandronate: the first once-monthly oral bisphosphonate for treatment of postmenopausal osteoporosis""","2. Bauss F, Schimmer RC. Ibandronate: the first once-monthly oral bisphosphonate for treatment of postmenopausal osteoporosis. Ther Clin Risk Manag. 2006;2:3-18."
3871,1178762,16809559,17,title,,strong,19846958,MED,,Cancer nanotargeted radiopharmaceuticals for tumor imaging and therapy.,2009,Anticancer Res,1.0,1.0,1.0,6,1.0,True,"query:TITLE:""Cancer nanotargeted radiopharmaceuticals for tumor imaging and therapy""","TITLE:""Cancer nanotargeted radiopharmaceuticals for tumor imaging and therapy""","17. Ting G, Chang CH, Wang HE. Cancer nanotargeted radiopharmaceuticals for tumor imaging and therapy. Anticancer Res. 2009;29:4107-4118."
3916,1281700,21512217,2,not_checked,,no_match,,,,,,,,,,,,,,,"2. Gökten ÖE. Perkütan nefrolitotomide nefrostomi traktina uygulanan levobupivakain infiltrasyonu ve intravenöz parasetamol kombinasyonunun postoperatif analjezi üzerine olan etkilerinin değerlendirilmesi, 2009. (Turkish). [Crossref]"
3937,1353921,24761291,27,title,,no_match,PMC13217615,PMC,,A Retrospective Cohort Study of Uterine Cancer Epidemiological Analysis and Age-Based Disparities in Saudi Arabian Population across 32 Years,2026,Saudi Med J,0.0477,0.0,0.2385,12,0.0,False,query:3(1):24-32 [Link] 2021,3(1):24-32 [Link] 2021,"Pancar S, Topçu H, Arabacı R, Vardar T. The effect of TRX suspension training on physical capacity of young sedentaries. The Journal of Eurasia Sport Sciences and Medicine. 2021;3(1):24-32. [Link]"
4080,1336460,24080554,3,title,,strong,1537201,MED,,Surgical treatment of the epilepsies: presurgical evaluation.,1992,Clin Neurosurg,1.0,1.0,1.0,5,1.0,True,"query:TITLE:""Surgical treatment of the epilepsies: presurgical evaluation""","TITLE:""Surgical treatment of the epilepsies: presurgical evaluation""","Engel J, Levesque MF, Shields WD. Surgical treatment of the epilepsies: presurgical evaluation. Clin Neurosurg. 1992;38:514-534."
4204,1339490,24904540,42,title_journal_year,,no_match,PMC11208286,PMC,,Posters,2024,FEBS Open Bio,0.1019,0.0,0.0095,1,0.0,True,"query:ANN Analysis and ODE Model of Selected Factors Affecting Mental Health Problems of Children in Turkey European Journal of Science and Technology, 54, 32-45 2024","ANN Analysis and ODE Model of Selected Factors Affecting Mental Health Problems of Children in Turkey European Journal of Science and Technology, 54, 32-45 2024","[42] Hızlısoy, S., Arslan, R. S., Çökük, G. Ö., Daşbaşı, B. 2024. ANN Analysis and ODE Model of Selected Factors Affecting Mental Health Problems of Children in Turkey. European Journal of Science and Technology, 54, 32-45."
4221,1274615,21392708,67,not_checked,,no_match,,,,,,,,,,,,,,,"Vinayak, S., & Judge, J. (2018). Resilienceandempathy as predictors of psychological well being among adolescents. International Journal of Health Science sand Research, 8(4), 192-200."
4650,1295309,22141898,34,cleaned_context,,no_match,PMC11467999,PMC,,8th Public Health Palliative Care International Conference: Building Bridges between Science and People,2024,Palliat Care Soc Pract,0.1476,0.1667,0.2796,12,0.0,False,"query:Shen, Y., & Wang, X. (2011). Citizen Satisfaction with Educational Services: The Marketing Implications of Public Administration . International Journal of China Marketing, 2(1), 77-92","Shen, Y., & Wang, X. (2011). Citizen Satisfaction with Educational Services: The Marketing Implications of Public Administration . International Journal of China Marketing, 2(1), 77-92","Shen, Y., & Wang, X. (2011). Citizen Satisfaction with Educational Services: The Marketing Implications of Public Administration . International Journal of China Marketing, 2(1), 77-92. [CrossRef]"
4791,1264572,20691038,22,title,,strong,19701510,MED,,Effect of a fluoride- and bromide-containing adhesive system on enamel around composite restorations under high cariogenic challenge in situ.,2009,J Adhes Dent,1.0,1.0,1.0,15,1.0,True,"query:TITLE:""Effect of a fluoride-and bromide-containing adhesive system on enamel around composite restorations under high cariogenic challenge in situ""","TITLE:""Effect of a fluoride-and bromide-containing adhesive system on enamel around composite restorations under high cariogenic challenge in situ""","22. Pinto CF, Paes Leme AF, Ambrosano GM, Giannini M. Effect of a fluoride-and bromide-containing adhesive system on enamel around composite restorations under high cariogenic challenge in situ. J Adhes Dent 2009;11:293-297."
4951,1282857,21576711,34,cleaned_context,,strong,28843233,MED,10.22034/apjcp.2017.18.8.2127,"Increasing Awareness of Gynecologic Cancer Risks and Symptoms among Asian, Native Hawaiian and Pacific Islander Women in the US-Associated Pacific Island Jurisdictions",2017,Asian Pac J Cancer Prev,1.0,1.0,1.0,17,1.0,True,"query:Novinson D, Puckett M, Townsend J, Reichhardt M, Tareg A, Palemar J, et al. Increasing Awareness of Gynecologic Cancer Risks and Symptoms among Asian, Native Hawaiian and Pacific Islander Women in the US-Associated Pacific Island","Novinson D, Puckett M, Townsend J, Reichhardt M, Tareg A, Palemar J, et al. Increasing Awareness of Gynecologic Cancer Risks and Symptoms among Asian, Native Hawaiian and Pacific Islander Women in the US-Associated Pacific Island","34. Novinson D, Puckett M, Townsend J, Reichhardt M, Tareg A, Palemar J, et al. Increasing Awareness of Gynecologic Cancer Risks and Symptoms among Asian, Native Hawaiian and Pacific Islander Women in the US-Associated Pacific Island Jurisdictions. Asian Pac J Cancer Prev. 2017;18(8):2127-2133. [Crossref]"
5156,1296942,22221229,13,title_journal_year,,no_match,33415115,MED,10.3389/fmed.2020.585744,"Prioritized Research for the Prevention, Treatment, and Reversal of Chronic Disease: Recommendations From the Lifestyle Medicine Research Summit.",2020,Front Med (Lausanne),0.1565,0.0,0.2824,12,0.0,True,"query:Building Green: Biophilic Design and Health Journal of Environmental Psychology, 63, 134-143 2020","Building Green: Biophilic Design and Health Journal of Environmental Psychology, 63, 134-143 2020","Evans, G. W., Wells, N. M., & Moch, A. (2020). Building Green: Biophilic Design and Health. Journal of Environmental Psychology, 63, 134-143."
5218,1260775,20542357,33,not_checked,,no_match,,,,,,,,,,,,,,,"Kırman, A., & Doğan, Ö. (2017). Anne-baba çocuk ilişkileri: Bir meta-sentez çalışması. Hacettepe University Faculty of Health Sciences Journal, 4(1), 28-49."
5297,1354443,24782050,35,cleaned_context,,strong,11158880,MED,,Silent thromboembolic events associated with the treatment of unruptured cerebral aneurysms by use of Guglielmi detachable coils: prospective study applying diffusion-weighted imaging.,2001,AJNR Am J Neuroradiol,1.0,1.0,1.0,17,1.0,True,"query:Rordorf G, Bellon RJ, Budzik RE, Farkas J, Reinking GF, Pergolizzi RS, Ezzeddine M, Norbash AM, Gonzalez RG, Putman CM: Silent thromboembolic events associated with the treatment of unruptured cerebral aneurysms by use of Guglielmi","Rordorf G, Bellon RJ, Budzik RE, Farkas J, Reinking GF, Pergolizzi RS, Ezzeddine M, Norbash AM, Gonzalez RG, Putman CM: Silent thromboembolic events associated with the treatment of unruptured cerebral aneurysms by use of Guglielmi","Rordorf G, Bellon RJ, Budzik RE, Farkas J, Reinking GF, Pergolizzi RS, Ezzeddine M, Norbash AM, Gonzalez RG, Putman CM: Silent thromboembolic events associated with the treatment of unruptured cerebral aneurysms by use of Guglielmi detachable coils: Prospective study applying diffusion-weighted imaging. AJNR Am J Neuroradiol 22:5–10, 2001"
5364,1261765,20583164,32,not_checked,,no_match,,,,,,,,,,,,,,,"32. https://w w w.mevzuat.gov.tr/anasayfa/MevzuatFihristDetay Iframe? MevzuatTur=1&MevzuatNo=6283&MevzuatTertip= 3#:~:text=Madde%205%20% E2%80%93%20Hem%C5%9Fire%20 okulundan% 20mezun,en%20b%C3%BCy%C3%BCk%20 sa%C4%9Fl%C4%B1k%20amirine%20verirler. [Crossref]"
5422,1179773,16857109,30,title,,strong,16515094,MED,,Optical behavior of current ceramic systems.,2006,Int J Periodontics Restorative Dent,1.0,1.0,1.0,5,1.0,True,"query:TITLE:""Optical behavior of current ceramic systems""","TITLE:""Optical behavior of current ceramic systems""","30. Raptis NV, Michalakis KX, Hirayama H. Optical behavior of current ceramic systems. Int J Periodontics Restorative Dent. 2006; 26: 31- 41."
5711,1196096,17736907,55,not_checked,,no_match,,,,,,,,,,,,,,,"55. Topare, NS.; Renge, VC.; Khedkar, SV.; Chavan, YP.; Bhagat, SL. Int J Chem Environ Pharm Res. 2011, 2, 116-20."
5875,1372632,25527201,36,not_checked,,no_match,,,,,,,,,,,,,,,"Schroy, P., Rifkin, J., Coffey, R. J., Winawer, S., & Friedman, E. (1990). Role of transforming growth factor β1 in induction of colon carcinoma differentiation by hexamethylene bisacetamide. Cancer Research, 50(2), 261-265. https://aacrjournals.org/cancerres/article/50/2/261/495798/Role-of-Transforming-Growth-Factor-1-in-Induction"
6004,1320992,23428567,39,not_checked,,no_match,,,,,,,,,,,,,,,"Stebbings, J., Taylor, I., Spray, C. M., & Ntoumanis, N. (2012). Algılanan koç kişilerarası davranışlarının öncülleri: Koçluk ortamı ve koçun psikolojik refahı ve kötülüğü. Spor ve Egzersiz Psikolojisi Dergisi, 34(1), 481-502. [CrossRef]"
6139,1223493,18898341,31,title,,strong,25905656,MED,,The use of stainless steel crowns: a systematic literature review.,2015,Pediatr Dent,1.0,1.0,1.0,6,1.0,True,"query:TITLE:""The use of stainless steel crowns: a systematic literature review""","TITLE:""The use of stainless steel crowns: a systematic literature review""","Seale NS, Randall R. The use of stainless steel crowns: a systematic literature review. Pediatr Dent 2015;37:145-60."
6245,1359250,25003340,17,title,,no_match,39434760,MED,10.21037/tau-24-262,A narrative review of mitochondrial dysfunction and male infertility.,2024,Transl Androl Urol,0.2909,0.4,0.3544,5,0.0,False,query:Medical treatment of male infertility Transl Androl Urol 2014,Medical treatment of male infertility Transl Androl Urol 2014,"Dabaja AA, Schlegel PN. Medical treatment of male infertility. Transl Androl Urol. 2014;3:9-16."
6290,1338798,24976226,13,title,,no_match,41209170,MED,10.1016/j.xkme.2025.101124,Arterial Stiffness and Acute Kidney Injury in the Atherosclerosis Risk in Communities (ARIC) Study.,2025,Kidney Med,0.0588,0.0,0.2941,9,0.0,False,query:2(4): 1062-1067 2011,2(4): 1062-1067 2011,"[13] Riddhi PD, Patel PM, Patel NM. A review on radiopharmaceuti cals and radiochemical method in analysis. Int J Pharm Biol Arch. 2011; 2(4): 1062-1067."
6385,1256585,20364671,30,title_journal_year,,no_match,29224053,MED,10.1007/s12072-017-9837-7,Spontaneous bacteremia and spontaneous bacterial peritonitis share similar prognosis in patients with cirrhosis: a cohort study.,2018,Hepatol Int,0.0511,0.0,0.2556,11,0.0,False,query:The Effect of Different Techniques Used in Intramuscular Injection on Pain and Drug Leakage International Anatolia Academic Online Journal Health Sciences 2021,The Effect of Different Techniques Used in Intramuscular Injection on Pain and Drug Leakage International Anatolia Academic Online Journal Health Sciences 2021,"30. Alaşar B, Çevik K. The Effect of Different Techniques Used in Intramuscular Injection on Pain and Drug Leakage. International Anatolia Academic Online Journal Health Sciences 2021;7:79-92."
6500,1193857,17585137,7,title,,no_match,41962942,MED,10.1136/bmj-2025-085716,Efficacy and safety of VPM1002 and Immuvac in preventing tuberculosis: phase 3 randomised clinical trial (PreVenTB trial).,2026,BMJ,0.0638,0.0,0.3188,12,0.0,False,query:3(8):717-24 2020,3(8):717-24 2020,"7. Hoffman W, Luster JD, Izurieta R. A concise review of coenzyme q10 supplementation in the preventative treatment of migraine. J Med Case Rep Rev. 2020;3(8):717-24."
6658,1316149,23150813,16,not_checked,,no_match,,,,,,,,,,,,,,,"16. Gilbert DN, Robert C, Moellering JMD, Eliopoulos GM, Sande MA. The Sanford guide to antimicrobial ther-apy: Antimicrobial therapy. 2011;40:48-51."
6665,1168369,16374631,1,not_checked,,no_match,,,,,,,,,,,,,,,"1. Çamsarı T, Sağlam F. Kronik Böbrek Yetmezliği. In: Erol Ç, Süleymanlar, ed. İç Hastalıkları Nefroloji. Birinci Baskı. Ankara: MN Medikal&Nobel Yayınevi, 2011; 85- 97. [CrossRef]"
6697,1262766,20623122,15,title,,no_match,41910013,MED,10.1002/cnr2.70527,Impact of Routine Respiratory Pathogen Panel Test on Outcome of Pediatric Oncology Patients With Febrile Neutropenia.,2026,Cancer Rep (Hoboken),0.0115,0.0,0.0576,12,0.0,False,query:40(7):2635-60 2009,40(7):2635-60 2009,"15. Schwamm LH, Audebert HJ, Amarenco P, Chumbler NR, Frankel MR, George MG, et al; American Heart Association Stroke Council; Council on Epidemi- ology and Prevention; Interdisciplinary Council on Peripheral Vascular Disease; Council on Cardiovascular Radiology and Intervention. Recom- mendations for the implementation of telemedicine within stroke systems of care: a policy statement from the American Heart Association. Stroke. 2009;40(7):2635-60. [PubMed]"
6996,1270301,20940455,6,not_checked,,no_match,,,,,,,,,,,,,,,"Arslanboğa, K. (2018). Osmanlı Devletiʼnde Vakıf Yönetiminde Tevliyet: İstanbul Örneği. Yönetim Bilimleri Dergisi, 16 (32), 551-558. [CrossRef]"
6997,1270301,20940469,20,not_checked,,no_match,,,,,,,,,,,,,,,"Çizakça, M. (1998). Awqaf In History and Its Implications for Modern Islamic Economies. Islamic Economic Studies, 6(1), 43-70. [CrossRef]"
7242,1342946,25055129,27,title,,no_match,42311278,MED,10.1186/s12982-026-02321-2,Trajectories of food insecurity for low wage workers from 2018 to 2022.,2026,Discov Public Health,0.1188,0.125,0.25,8,0.0,False,query:24(1):44-50 2018,24(1):44-50 2018,"27. Damani A, Ghoshal A, Salins N, Deodhar J, Muckaden M. Prevalence and intensity of dyspnea in advanced cancer and its impact on quality of life. Indian J Palliat Care. 2018;24(1):44-50."
