sample_index,publication_id,reference_id,match_status,match_score,matched_source,matched_title,matched_author,matched_year,matched_publisher,matched_isbn,matched_url,raw_context
57,1257490,20398368,no_match,0.0,,,,,,,,"Amerikan Psikiyatri Birliği. (2014). Tanı ölçütleri başvuru el kitabı (5. baskı, E. Köroğlu, Çev.). HYB Yayınları."
58,1257490,20398386,no_match,0.0,,,,,,,,"Büyüköztürk, Ş. (2002). Sosyal bilimler için veri analiz el kitabı. Pegem Yayıncılık."
65,1253700,20240148,no_match,0.0,,,,,,,,"Lohmann, Hans. “Risultati di una survey condotta nella penisola di Kazıklı,” Iasos e la Caria. Nuovi studi e ricerche (La Parola del Passato, 60/2-6). Ed. Raffaella Pierobon Benoit. Napoli: Macchiaroli Editore, 2005, 332-356."
76,1287910,22427156,no_match,0.0,,,,,,,,"Martin, B. (2013). Asılı Adam Ai Weiwei’nin Tutuklanışı, Metis Yayınları, İstanbul."
108,1275479,21189673,no_match,0.0,,,,,,,,"Marschner, H. (1995). Mineral nutrition of higher plants (2nd edition), Academic Press, London, 889p."
110,1185267,17118518,no_match,0.0,,,,,,,,"Çift, Salih. Mısır’da Bektaşilik. İstanbul: Dergâh Yayınları, 2013."
111,1185267,17118528,strong,0.982,openlibrary,Kaygusuz Abdal (Alâaddin Gaybı̂),Abdurrahman Güzel,1981,,,https://openlibrary.org/works/OL12823532W,"---. Kaygusuz Abdal (Alâaddin Gaybî). Ankara: Akçağ Yayınları, 2004."
117,1379811,25757028,strong,1.0,openlibrary,Temel Tasavvufi Kavramlar,Süleyman Uludag,2021,,,https://openlibrary.org/works/OL26268491W,"Uludağ, Süleyman. Temel Tasavvufi Kavramlar. İstanbul: Ketebe Yayınları, 2021."
198,1329123,23768334,no_match,0.0,,,,,,,,"Gałkowski, J. P., & Kotarski, H. (2015). Cultural capital of the young intelligentsia of Central and Eastern Europe. In H. Kotarski (Ed.), Pragmatics of social and cultural capital (pp: 11-23). Wydawnictwo Uniwersytetu Rzeszowskiego."
208,1213959,18546295,no_match,0.0,,,,,,,,"Perry, A. G., Potter, P. A. (2011). Klinik uygulama becerileri ve yöntemleri, arteriyel kan basıncının değerlendirilmesi T.A. Aştı,A. Karadağ ve R. Acaroğlu (Ed). Adana: Nobel Tıp Kitabevi."
211,1292063,22020643,no_match,0.0,,,,,,,,"Karpat, K. H. (2010). Osmanlı Nüfusu 1830-1914. (B. Tırnakçı, Çev.) İstanbul: Timaş Yayınları."
213,1292063,22020660,strong,1.0,openlibrary,Urartu Tarihi ve Kulturu,Mirjo Salvini,2006,,,https://openlibrary.org/works/OL26408262W,"Salvini, M. (2006). Urartu Tarihi ve Kültürü. (B. Aksoy, Çev.) İstanbul: Arkeoloji ve Sanat Yayınları."
214,1292063,22020669,no_match,0.0,,,,,,,,"Türkiye Cumhuriyeti Başbakanlık İstatistik Genel Direktörlüğü. (1937). 20 İlkteşrîn (Ekim) 1935 Genel Nüfus Sayımı, Cilt:60, Neşriyat No:75. Ankara."
222,1247341,19961051,no_match,0.0,,,,,,,,"İbn Nedim, Muhammed b. İshâk. el-Fihrist. Beyrut: Dâru’l-Maarif, t.y."
232,1368470,25976638,no_match,0.0,,,,,,,,"Görcelioğlu, E. (2003). Sel ve çığ kontrolü. İÜ Orman Fakültesi Yayınları, (4415/473,384)."
236,1198973,17827447,no_match,0.0,,,,,,,,"Karavelioğlu, M. (2008). XV. ve XVI. Yüzyıl Divanlarında Bursa (Ed. Fatma Meliha Şen, Reyhan Çorak ve Murat Karavelioğlu). 15 ve 16. yüzyıl Divanlarında Edirne, Bursa ve İstanbul. İstanbul: BİSAV Yayınları."
252,1326236,23643258,no_match,0.0,,,,,,,,"Büyükşahin, F. (2018). Sarıkeçili Yörükler’in kültür-çevre ilişkisi içerisinde geleneksel ekolojik bilgilerinin araştırılması. Hiper Yayın."
254,1326236,23643280,no_match,0.0,,,,,,,,"Şahin, İ. (2006). Osmanlı döneminde konar-göçerler. Eren Yayıncılık."
255,1385013,25941123,no_match,0.0,,,,,,,,"Baʿlebekkî, Rûḥî - Baʿlebekkî, Munîr. el-Mevrid. Beyrut: Dâru’l-ʿİlm li’l-Melâyîn, 2014."
256,1385013,25941141,no_match,0.0,,,,,,,,"Shlaim, Avi. Demir Duvar İsrail ve Arap Dünyası. çev. Tuba Demirci. İstanbul: Küre Yayınları, 2. Basım, 2022."
261,1216803,19013443,no_match,0.0,,,,,,,,"KAHYA, Esin, ‘’Sağlık Kuruluşlarımıza Bir Örnek: Safranbolu’da Frengi Hastahanesi’’, IX. Türk Tarih Kongresi, Cilt: 3, TTK Yayınları, Ankara 1989, s.1291-1296."
278,1325495,23614679,no_match,0.0,,,,,,,,"Sallâbî, Ali Muhammed. Hz. Osman. çev. Mehmet Akbaş. İstanbul: Ravza Yayınları, 2009."
284,1192205,17460769,no_match,0.0,,,,,,,,"Ali el-Kârî, Ebu’l-Hasen Nûrüddîn Alî b. Sultân Muhammed el-Kârî el-Herevî. el-Esrâru’l-Merfûʿa fi’l-Ahbâri’l-Mevzûʿa. thk. Muhammed es-Sabbâğ. Beyrut: Dâru’l-Emâne, 1971."
292,1207628,18246696,strong,1.0,openlibrary,Dersim olayı,Baki Öz,2004,,,https://openlibrary.org/works/OL1787417W,"Öz, Baki. Dersim Olayı. İstanbul: Can Yayınları, 2008."
309,1341339,24251276,no_match,0.0,,,,,,,,"Şeşen, Ramazan, “Eyyubiler”. Türkiye Diyanet Vakfı İslam Ansiklopedisi. İstanbul: TDV yayınları, 1995, 12/22-31."
320,1377979,25703558,no_match,0.0,,,,,,,,"Kentler, Helmut. Çocuğuma Nasıl Cinsel Eğitim Verebilirim? çev. Gülderen Pamir. İstanbul: Turkuaz Yayıncılık, 2008."
322,1365738,25271092,no_match,0.0,,,,,,,,"Dahl, Robert A. (1971). Polyarchy: participation and opposition, New Haven: Yale University Press."
323,1365738,25271095,possible,0.814,crossref_book,The New Industrial State,Galbraith John Kenneth,2015,Princeton University Press,9781400873180,https://doi.org/10.2307/j.ctvcm4hjz,"Galbraith, J. K. (1985). The new industrial state (revised ed.). Oxford: Princeton University Press."
343,1280396,21539710,no_match,0.0,,,,,,,,"Tütengil, C.O. (1969). Türkiye’de Köy Sorunu. İstanbul: Kitaş Yayınları."
348,1303023,22496552,strong,1.0,openlibrary,Nitel Araştırmacılar İçin Kodlama El Kitabı,Johnny Saldana,2019,,,https://openlibrary.org/works/OL26217523W,"Saldana, J. (2022). Nitel araştırmacılar için kodlama el kitabı [The coding manual for qualitative researchers]. (2nd Edition), (A. Tüfekçi & S. N. Şad Trans. Eds.), Ankara: Pegem Akademi."
367,1247129,20046294,no_match,0.0,,,,,,,,"Pompian, M. (2006). Behavioral Finance and Wealth Management: How to Build Optimal Portfolios that Account for Investor Biases. USA: John Wiley & Sons, Inc."
371,1382016,26526473,no_match,0.0,,,,,,,,"SÜMER, H. Hadi, İş Hukuku, 26. Bası, Seçkin Yayıncılık, Ankara, 2022."
384,1258328,20441066,no_match,0.0,,,,,,,,"Namlı Mert, İcra Hukukunda Taşınmaz Malların Haczi ve Paraya Çevrilmesi, On İki Levha Yayınları, İstanbul 2019 (Namlı, Taşınmaz Mallar)."
385,1258328,20441082,no_match,0.0,,,,,,,,"Üstündağ Saim, İcra Hukukunun Esasları, 8. Bası, İstanbul 2004."
416,1350230,24622469,no_match,0.0,,,,,,,,"Yağmurlu A, Baskan S. Akademik yükseltme ve atamalarda ulusal süreli yayınlarımız. Yılmaz O, editör. Sağlık Bilimlerinde Süreli Yayıncılık. 1. Baskı. Ankara: Baskı Matbaası; 2005. p.21-32."
424,1331894,23898885,strong,1.0,openlibrary,Yahudi Sorunu Üzerine,Karl Marx,2015,,,https://openlibrary.org/works/OL26409740W,"Marx, K. (1997). Yahudi Sorunu. Ankara: Sol Yayınları."
456,1288891,21889119,no_match,0.0,,,,,,,,"GÜNAY, U. (2008). Türkiye’de Âşık Tarzı Şiir Geleneği ve Rüya Motifi, Ankara: Akçağ Yayınları."
459,1292224,22027011,strong,0.984,crossref_book,The Experience of Ancient Egypt,David Rosalie,2002,Routledge,9781134968008,https://doi.org/10.4324/9780203404935,"David, Rosalie. The Experince of Ancient Egypt. London and New York: Routledge, 2002."
476,1285035,21716346,no_match,0.0,,,,,,,,"Carrier, M. (2020). Tarihsel Yaklaşımlar: Kuhn, Lakatos ve Feyerabend. (Ö. F. Anlı, Çev.) Bilim Felsefesi, (J. R. Brown, Ed.) içinde (ss. 187-212). Ankara: Fol Kitap."
477,1285035,21716351,no_match,0.0,,,,,,,,"Feyerabend, P. (1991). Özgür Bir Toplumda Bilim (A. Kardam, Çev.). İstanbul: Ayrıntı Yayınları."
483,1350986,24648486,no_match,0.0,,,,,,,,"İmre Z, Doktrinde ve Türk Hukukunda Kusursuz Mesuliyet Hâlleri (İsmail Akgün Matbaası 1949)."
488,1160131,17148146,no_match,0.0,,,,,,,,"Harman, Ömer Faruk. (2000). İbrahim. İslam Ansiklopedisi. Türkiye Diyanet Vakfı Yayınları. 21, 266-272."
504,1293021,23006338,no_match,0.0,,,,,,,,"20. Gürsoy O, Kesenkaş H. Peynir Mikrobiyolojisi. İçinde: Hayaloğlu AA, Özer B, editörler. Peynir Biliminin Temelleri. Ankara: Nobel Akademik Yayıncılık; 2021:99-138."
510,1212126,20058658,no_match,0.0,,,,,,,,"Yücel, Fatih. ‘‘Mansûr-Billâh’’. İslam Düşünce Atlası. ed. İbrahim Halil Üçer. 5/1842, 1843. İstanbul: Konya Büyükşehir Belediyesi Kültür Yayınları-İLEM, 2022."
512,1191817,17425199,no_match,0.0,,,,,,,,"Eygü, H. (2020). Çözümlü güncel örneklerle olasılık ve istatistik. Ankara: Nobel Yayınları."
513,1191817,17425222,no_match,0.0,,,,,,,,"Stock, H. J. ve Watson, W. M. (2011). Inroduction to econometrics. 2th edition, (Çev: B. Saraçoğlu), Ankara: Elif Yayınevi."
542,1300076,22518971,no_match,0.0,,,,,,,,"Ukaylî, Muhammed b. Amr. eḍ-Ḍuʿafâʾü’l-kebîr. nşr. Abdulmu‘tî Emîn Kal‘aci. 4 Cilt. Beyrut: Dâru’l-Kütübi’l-İlmiyye, 1983."
544,1311465,22821666,no_match,0.0,,,,,,,,"İbn Kudâme, M. (1417/1997). el-Muġnî. Riyad: Dâru ‘Âlemi’l-Kutub."
555,1204349,18161737,no_match,0.0,,,,,,,,"Sezginer, M. (2017). Dünden bugüne Conseil D'etat ve Danıştayın inceleme ve danışma fonksiyonu. Danıştay ve İdari Yargı Günü 149. Yıl Sempozyumu (s. 101-133). Ankara: Danıştay Yayınları."
558,1213865,18953626,no_match,0.0,,,,,,,,"Bayrak, M. (2005). Alevi-Bektaşi edebiyatında Ermeni âşıkları [aşuğlar]. Ankara: Öz-Ge Yayınları."
571,1292420,22034195,no_match,0.0,,,,,,,,"Erman, A. (2016) Tanrı Dini Şamanizm, Ankara: Gece Kitaplığı Yayınları."
572,1292420,22034198,no_match,0.0,,,,,,,,"İnan, A. (1986).Tarihte ve Bugün Şamanizm, Ankara: Türk Tarih kurumu Basımevi."
575,1184669,17099650,no_match,0.0,,,,,,,,"ÖZGENÇ, İzzet, Suç Örgütleri, Seçkin Yayıncılık, Ankara, 2022."
586,1228312,19463496,no_match,0.0,,,,,,,,"Dedeoğlu, Beril. (2018), Uluslararası Güvenlik ve Strateji (4. Baskı) (İstanbul: Yeniyüzyıl Yayınları)."
594,1176762,16726761,no_match,0.0,,,,,,,,"Dehkhoda, Ali Akbar. Loghatnâmeh-ye Dehkhoda. XV. Chief Editor Moin.M. Tehran: Tehran University Publishing, 1998."
611,1286854,21793961,no_match,0.0,,,,,,,,"Zerkeşî, Ebû Abdillah Bedruddin Muhammed b. Bahâdır. el-Burhân fî ʿulûmi’l-Kur’ân. thk. Yusuf Abdurrahman el-Maraşî - Cemal Hamdi ez-Zehebî. 4 Cilt. Beyrut: Dâru’l-Meʿârif, 1990."
638,1233702,19815892,no_match,0.0,,,,,,,,"[2] C. U. Grosse, M. Ohtsu, “Acoustic Emission Testing, Basics for Research-Applications in Civil Engineering, Springer-Verlag, Berlin, Heidelberg, 2008."
671,1210345,18383609,strong,1.0,openlibrary,Türk dili el kitabı,Nurettin Demir,2003,,,https://openlibrary.org/works/OL23893993W,"Demir, N. & Yılmaz, E. (2010). Türk dili el kitabı. Grafiker."
685,1356930,24889226,no_match,0.0,,,,,,,,"Durmuş B., Yurtkoru E. S. ve Çinko, M. (2018). Sosyal bilimlerde SPSS’le veri analizi. İstanbul: Beta Yayıncılık."
694,1298316,23218609,no_match,0.0,,,,,,,,"Beyhakî, Ahmed b. el-Huseyn b. Ali. es-Sünenü’l-kübrâ. tah. M. Abdülkadir Atâ. Beyrut: Dâru’l- kütübi’l-ilmiyyeh,1423/2003."
713,1219930,19162170,strong,1.0,openlibrary,Politikada halkla ilişkiler,Mahmut Oktay,2002,,,https://openlibrary.org/works/OL44485430W,"Oktay, M. (2002). Politikada halkla ilişkiler. Derin Yayınları."
720,1322927,23511339,no_match,0.0,,,,,,,,"Cihangir, E. (2002) technical manual series: Dimensions in apparel industry. Istanbul Textile and Apparel Exporter Associations (ITKIB) Publishing."
731,1374156,25582177,no_match,0.0,,,,,,,,"Ülgener, S. F. (1983). Zihniyet Aydınlar ve İzm’ler. Ankara: Mayaş Yayınları."
745,1280722,21458625,no_match,0.0,,,,,,,,"—— “Beşinci Kitap”, Son Şiirleri (20. Baskı, Adam 1999)."
747,1280722,21458699,no_match,0.0,,,,,,,,"—— “Üçüncü Kitap”, Son Şiirleri (20. Baskı, Adam 1999)."
748,1326897,24463095,no_match,0.0,,,,,,,,"Yaylagül, L. (2018). Kitle ı̇letişim kuramları, eleştirel ve egemen yaklaşımlar. Dipnot Yayınları."
750,1347808,24520736,no_match,0.0,,,,,,,,"Fığlalı, Ethem Ruhi. İbâdiye’nin Doğuşu ve Görüşleri. Ankara: Ankara Üniversitesi Basımevi, 1983."
767,1284463,21668560,no_match,0.0,,,,,,,,"Barthold, V. V. (2022). Halife ve Sultan İslam’da İktidarın Serüveni. (İlyas Kemaloğlu. Çev.). İstanbul: Yeditepe Yayınevi."
785,1226999,19079620,strong,0.979,crossref_book,Mohammed and Charlemagne,Pirenne Henri,2013,Routledge,9781135030186,https://doi.org/10.4324/9780203706886,"Pirenne, H. (1959). Mohammed and Charlmagne. Meridien Books."
789,1279484,21381380,strong,0.925,crossref_book,Sosyal Bilimlerde Nicel Araştırma Yöntemleri,Büyükyılmaz Ozan,2024,Akademisyen Kitabevi,9786253751609,https://doi.org/10.37609/akya.3369.c8916,"Gürbüz, S. ve Şahin F. (2015). Sosyal bilimlerde araştırma yöntemleri: Felsefe - yöntem - analiz (2. baskı). Seçkin Yayıncılık San. ve Tic. A.Ş."
808,1276970,21410120,no_match,0.0,,,,,,,,"Clauson, S. G. (1972). An etymological dictionary of pre-thirteenth-century Turkish. Oxford University Press."
810,1209559,18340200,possible,0.667,openlibrary,The Uncanny,Nicholas Royle,2002,,,https://openlibrary.org/works/OL7943084W,"Royle, N. (2003). The Uncanny (Manchester: Manchester University Press."
815,1278251,21312910,no_match,0.0,,,,,,,,"Buruma, I., & Margalit, A. (2009). Garbiyatçılık. Yapı Kredi Yayınları."
816,1278251,21312937,strong,1.0,openlibrary,Azgelişmiş ülke milliyetçiliği,Baskın Oran,1977,,,https://openlibrary.org/works/OL1786721W,"Oran, B. (1977). Azgelişmiş Ülke Milliyetçiliği. Ankara Üniversitesi Basımevi."
817,1278251,21312944,possible,0.625,openlibrary,Authority,Richard Sennett,1980,,,https://openlibrary.org/works/OL1870893W,"Sennett, R. (2005). Otorite. Ayrıntı Yayınları."
852,1355598,24838450,no_match,0.0,,,,,,,,"Attum B, Thompson JH. Humerus fractures overview. 2022 Aug 8. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2022 Jan–."
868,1378338,25713700,no_match,0.0,,,,,,,,"Oxford, R. (2001). Integrated skills in the ESL/EFL classrooms. ESL Magazine, 6(1), 5–12."
894,1270270,20939486,no_match,0.0,,,,,,,,"Baysun, M. Cavid. ""Emir Sultan"". İslam Ansiklopedisi. 4/261-263, İstanbul: Milli Eğitim Basımevi, 1977."
915,1231148,19699754,no_match,0.0,,,,,,,,"Acıkgöz-Ün, K. (2014). Aktif öğrenme. Biliş Yayınevi."
932,1347983,24526428,no_match,0.0,,,,,,,,"Rudlin, J. (2000). Commedia dell’Arte. (Çev: Ezgi Ege İpekli). Mitos Boyut Yayınları."
933,1347983,24526436,strong,1.0,openlibrary,The commedia dell'arte,Winifred Smith,1912,,,https://openlibrary.org/works/OL153972W,"Winifred, S. (1964). Commedia dell Arte. Columbia: Columbia University Press."
944,1290718,21971180,no_match,0.0,,,,,,,,"Çelebi, Ahmed. İslam’da Eğitim Öğretim Tarihi. çev. Ali Yıldırım. İstanbul: Damla Yayınevi, 4. Basım, 2013."
946,1240714,19700557,strong,1.0,openlibrary,Culture and Economics,Eelke de Jong,2013,,,https://openlibrary.org/works/OL25161109W,"Jong, E. De (2009). Culture and Economics: On Values, Economics, and International Business. Routledge."
977,1159591,16933307,no_match,0.0,,,,,,,,"39. Eren, Ş., Razbonyalı, M., Şengonca, H., Okatan, A., Yazıcı, A., Erten, M., Arsan, T., Duru, N., Çölkesen, T., Turan, A., Uğurkaya, C., Sarıdoğan, E., Acar, A., Bilgisayar Mühendisliğine Giriş, Papatya Yayıncılık Eğitim, İstanbul, Türkiye, 2020."
984,1286710,21783979,no_match,0.0,,,,,,,,Jandarma Okulu Subay Kısmı müfredat programı. (1937). Jandarma Genel Komutanlığı Matbaası.
985,1286710,21783991,no_match,0.0,,,,,,,,"Ozanalp, O. (1937). Kaza Jandarma komutanı ve ödevleri. Jandarma Genel Komutanlığı Matbaası."
986,1286710,21783998,no_match,0.0,,,,,,,,"Piyer, C. (1927). Eşkal ve alâmat-ı mahsûsanın sûret-i tavsif ve tespiti. (R. Ömer, Çev.). Jandarma Matbaası. (1911)."
993,1223040,18881958,strong,0.78,openlibrary,Türk evinde çıkma,"Mesut Evren, İstanbul Teknik Üniversitesi. Mimarlık Fakültesi",1959,,,https://openlibrary.org/works/OL44193428W,"Evren, M. (1959), Türk Evinde Çıkma, İstanbul: Fakülteler Matbaası."
994,1224282,19335287,no_match,0.0,,,,,,,,"Kilkelly, U. (2001). Özel Hayata ve Aile Hayatına Saygı Gösterilmesi Hakkı: AİHS’nin 8. Maddesinin Uygulanmasına İlişkin Klavuz. İnsan Hakları El Kitapları, No:1. Strasbourg, Cedex: Avrupa Konseyi Yayınları."
1002,1211991,18657343,no_match,0.0,,,,,,,,"Arendt, Hannah. 2013. İnsanlık Durumu. İstanbul: İletişim Yayınları."
1029,1384878,26637630,no_match,0.0,,,,,,,,"Foucault, M. (2013). Hapishanenin doğuşu: gözetim altında tutmak ve cezalandırmak. (M. A. Kılıçbay, Çev.). İmge Yayınevi."
1030,1384878,26637651,no_match,0.0,,,,,,,,"Zencirkıran, M. (2017). Sosyoloji. Dora Yayıncılık."
1031,1202014,17965268,no_match,0.0,,,,,,,,"Abdülcebbâr, Ebü’l-Hasen Kādı’l-kudât Abdülcebbâr b. Ahmed b. Abdilcebbâr el-Hemedânî. el-Muġnî fî ebvâbi’t-tevḥîd ve’l-ʿadl. thk. Mahmûd Muhammed Kasım. 16 Cilt. Mısır: Dâru’l-Kütübi’l-Mısriyye, 1953."
1032,1202014,17965281,no_match,0.0,,,,,,,,"Ebû Dâvûd, Suleymân b. el-Eşʿaŝ es-Sicistânî. Sunenu Ebî Dâvûd. nşr. Şuʿayb el-Arnaût. 6 Cilt. Dımaşk: Dâru'r- Risâleti'l-ʿÂlemiyye, 1430/2009."
1035,1221268,18820275,no_match,0.0,,,,,,,,"İbn ʿAbdülber en-Nemerî, Ebû Ömer Cemâlüddîn Yûsuf b. ʿAbdillâh b. Muhammed. el-İstizkâr. thk. Sâlim Muhammed ʿAtâ, Muhammed ʿAlî Muʿavvıd. 9 Cilt. Beyrut: Dâru’l-Kutubi’l-ʿİlmiyye, 1421/2000."
1036,1221268,18820291,no_match,0.0,,,,,,,,"Safedî, Salâhuddîn Halil b. Aybek (ö. 764/1363) es-. el-Vâfî bi’l-vefeyât. thk. Ahmed el-Arnâût, Türkî Mustafa. Beyrut: Dâru İhyâi’t-Türâs, 2000."
1040,1290206,22912814,no_match,0.0,,,,,,,,"Abdurrahman, Taha. (2022). Modernlik Ruhu: İslami Bir Modernlik İnşasına Giriş (M. E. Maşalı & M. Maşalı, Çev.). Pınar Yayınları."
1041,1290206,22912834,no_match,0.0,,,,,,,,İbn Sa’d. (1968). Et-Tabakatü’l-kübra (1-10). Dâru Sadır.
1048,1305653,23710885,strong,1.0,crossref_book,Gelişim ve Öğrenme,"UMMANEL Azize, DİLEK Aytaç",2016,Pegem Akademi Yayıncılık,,https://doi.org/10.14527/9786053185598.02,"Erdem, M., & Akman, Y. (2002). Gelişim ve öğrenme. Ankara: Arkadaş Yayınevi."
1052,1253092,20212272,strong,1.0,crossref_book,Sosyal Bilimlerde Nitel Araştırma Yöntemleri,Kavut Sevgi,2024,Akademisyen Kitabevi,9786253751609,https://doi.org/10.37609/akya.3369.c8919,"Yıldırım, A. ve Şimşek, H. (2016). Sosyal bilimlerde nitel araştırma yöntemleri. 10. Baskı, Ankara: Seçkin Yayıncılık."
1063,1291586,22002426,strong,1.0,openlibrary,100 soruda tasavvuf,Abdülbâki Gölpınarlı,1969,,,https://openlibrary.org/works/OL42602734W,"Gölpınarlı, Abdülbakî. 100 Soruda Tasavvuf. İstanbul: Gerçek Yayınevi, 1985."
1064,1291586,22002460,no_match,0.0,,,,,,,,"Taberî, Ebu Cafer Muhammed b. Cerîr. Câmiu’l-beyân an te’vili âyi’l-Kur’ân. Kahire: Dâru Hicr, 2001."
1066,1310685,22787499,strong,1.0,openlibrary,Edebiyat ve Kotuluk,Georges Bataille,2014,,,https://openlibrary.org/works/OL26375886W,"Bataille, Georges. Edebiyat ve Kötülük. Çeviren Ayşegül Sönmezay. İstanbul: Ayrıntı Yayınları, 2004."
1067,1310685,22787515,no_match,0.0,,,,,,,,"Özkök, Seher. “Beyaz Lâle: Negatif Öteki’nin Söylemi ve Eylemi Üzerinden İnşa Edilen Millî Bilinç.” T. C. Gönen Belediyesi 1. Dünden Bugüne Ömer Seyfettin Sempozyumu Bildirileri içinde, 125-130. Balıkesir: Gönen Belediyesi Yayınları, 2007."
1069,1328609,23748879,no_match,0.0,,,,,,,,"Çabuk, A. (2013), “Finansal Analiz Teknikleri”, içinde: S. Önce (ed.), Finansal Tablolar Analizi (Ünite 3), Eskişehir: Anadolu Üniversitesi Yayınları."
1074,1224300,19337900,no_match,0.0,,,,,,,,"Kurnaz, C. (2012). Hayali Bey Divanının Tahlili. Ankara: Kurgan Edebiyat Yayınları."
1082,1368301,25371590,no_match,0.0,,,,,,,,"Yavaş, H. (2005). Doğal afetler yönüyle Türkiye’de belediyelerde kriz yönetimi, Orion Yayınevi, Ankara."
1085,1315860,23137717,strong,0.851,crossref_book,Öğretmen Adaylarının Bilimsel Araştırmaya Yönelik Tutumlarının İncelenmesi,"Çetin Şaban, Çetin Filiz, Bingöl A. Selcan",2020,Ankara Pegem Akademi Yayıncılık,9786257228589,https://doi.org/10.14527/9786257228589.21,"Sadık, R. (2018). Öğretmen adaylarının satranç oyununa yönelik tutumlarının incelenmesi. S. Devecioğlu (Ed.), 1. Uluslararası Beden Eğitimi, Spor, Rekreasyon ve Dans Kongresi (ss. 258-264) içinde. Asos Yayınevi."
1094,1214482,18901332,strong,1.0,openlibrary,Kapımızdaki Yabancılar,Zygmunt Bauman,2018,,,https://openlibrary.org/works/OL26371312W,"Bauman, Z. (2018). Kapımızdaki yabancılar. (E. Barca, Çev.) Ayrıntı Yayınları."
1106,1327057,23674334,no_match,0.0,,,,,,,,"Alpar, R. (2021). Çok değişkenli istatistiksel yöntemler. Ankara: Detay Yayıncılık."
1108,1182528,17001779,no_match,0.0,,,,,,,,"Barutçugil, İ. (2013). Stratejik Yönetim. İstanbul: Kariyer Yayıncılık."
1120,1306087,23648317,strong,1.0,openlibrary,Making health policy,Kent Buse,2005,,,https://openlibrary.org/works/OL16953580W,"Buse, K., Mays, N., & Walt, G. (2012). Making health policy. Open University Press."
1128,1306501,22620864,no_match,0.0,,,,,,,,"Ocak, A. Y. Bektaşî Menâkıbnâmelerinde İslâm Öncesi İnanç Motifleri. İstanbul. 1983. Ocak, A. Y. “Bektaşîlik”. Türkiye Diyanet Vakfı İslâm Ansiklopedisi. 5/373-379. İstanbul: TDV Yayınları, 1992."
1149,1283799,21631041,no_match,0.0,,,,,,,,"Chin, W. W. (1998). The partial least squares approach for structural equation modeling. In G. A. Marcoulides (Ed.), Modern methods for business research (pp. 295–336). Lawrence Erlbaum Associates Publishers."
1164,1294734,23190880,strong,1.0,openlibrary,Mukayeseli İslâm hukuku,Hayreddin Karaman,1974,,,https://openlibrary.org/works/OL1606716W,"Karaman, Hayreddin. Mukayeseli İslâm Hukuku. İz Yayıncılık 296. İstanbul: İz Yayıncılık, 2016."
1191,1189149,17284245,no_match,0.0,,,,,,,,"Acemoğlu, D. (der.) (2022) Yapay Zekayı Yeniden Tasarlamak: Otomasyon Çağında İş, Demokrasi ve Adalet, Ankara: Efil Yayınevi."
