sample_index,publication_id,reference_id,reference_order,source_doi,datacite_status,datacite_doi,datacite_title,datacite_publisher,datacite_year,datacite_type,datacite_url,confidence,title_coverage,title_similarity,title_token_count,author_coverage,year_match,request_key,query_source,query,context
19,1185661,17184433,14,,no_match,,,,,,,,,,,,,search:role use creative practice research its contribution knowledge niedderer 2007,tei,role use creative practice research its contribution knowledge niedderer 2007,"14. Niedderer, K., Roworth-Stokes, S., (2007), The role and use of creative practice in research and its contribution to knowledge. International Association of Societies of Design Research, IASDR07 Conference. 1–18, 12-15 November 2007, Hong Kong: Hong Kong Polytechnic University, p.15."
20,1379429,25746865,58,,no_match,,,,,,,,,,,,,search:mctaggart 1997 participatory action research international contexts consequences suny press,context,mctaggart 1997 participatory action research international contexts consequences suny press,"McTaggart, R. (Ed.). (1997). Participatory action research: International contexts and consequences. Suny Press."
21,1379429,25746888,81,,no_match,,,,,,,,,,,,,search:steen 1999 twenty questions about mathematical reasoning stiff curcio eds developing mathematical reasoning grades 270 285 reston national council teachers mathematics,context,steen 1999 twenty questions about mathematical reasoning stiff curcio eds developing mathematical reasoning grades 270 285 reston national council teachers mathematics,"Steen, L. A. (1999). Twenty questions about mathematical reasoning. In L. V. Stiff and F. R. Curcio (Eds.), Developing Mathematical Reasoning in Grades K-12 (pp. 270-285). Reston, VA: National Council of Teachers of Mathematics."
24,1241401,19728756,15,,no_match,,,,,,,,,,,,,search:furrer muller chen cetiner borclar hukuku genel hukumler iki levha 2021,context,furrer muller chen cetiner borclar hukuku genel hukumler iki levha 2021,"Furrer A, Müller-Chen M ve Çetiner B, Borçlar Hukuku Genel Hükümler (On İki Levha 2021)."
25,1241401,19728759,18,,no_match,,,,,,,,,,,,,search:girsberger und hermann basler kommentar obligationenrecht art 529 funfter titel die abtretung von forderungen und die schuldubernahme auflage helbing lichtenhahn verlag 2020,context,girsberger und hermann basler kommentar obligationenrecht art 529 funfter titel die abtretung von forderungen und die schuldubernahme auflage helbing lichtenhahn verlag 2020,"Girsberger D und Hermann JL, Basler Kommentar, Obligationenrecht I (Art. 1-529 OR), Fünfter Titel: Die Abtretung von Forderungen und die Schuldübernahme (7. Auflage, Helbing Lichtenhahn Verlag 2020)."
28,1376353,25660388,20,,no_match,,,,,,,,,,,,,search:jex 1998 stress job performance theory research implications managerial practice sage publications ltd,context,jex 1998 stress job performance theory research implications managerial practice sage publications ltd,"Jex, S. M. (1998). Stress and job performance: Theory, research, and implications for managerial practice. Sage Publications Ltd."
29,1376353,25660402,34,,no_match,,,,,,,,,,,,,search:yetim cengiz 2010 iletisim spor berikan yayinevi,context,yetim cengiz 2010 iletisim spor berikan yayinevi,"Yetim, A., & Cengiz, R. (2010). İletişim ve Spor. Berikan Yayınevi"
30,1239899,20206230,23,,no_match,,,,,,,,,,,,,search:merriman 2009 history modern europe renaissance present norton company,context,merriman 2009 history modern europe renaissance present norton company,"Merriman, J. (2009). A history of modern Europe: From the Renaissance to the present. WW Norton & Company."
31,1348868,24565232,4,,no_match,,,,,,,,,,,,,search:kundak aydogus 2018 turkiye imalat sanayinin ithalata bagimliliginin analizi gaziantep university social sciences 252 266,context,kundak aydogus 2018 turkiye imalat sanayinin ithalata bagimliliginin analizi gaziantep university social sciences 252 266,"[4]. Kundak, S, Aydoğuş, I. 2018. Türkiye’de imalat sanayinin ithalata bağımlılığının analizi. Gaziantep University Journal of Social Sciences; 17(1): 252-266."
32,1348868,24565234,6,,no_match,,,,,,,,,,,,,search:cumhurbaskanligi strateji butce baskanligi content uploads 2023 ikinci kalkinma plani 2024 2028 11122023 pdf 2023,context,cumhurbaskanligi strateji butce baskanligi content uploads 2023 ikinci kalkinma plani 2024 2028 11122023 pdf 2023,"[6]. T.C. Cumhurbaşkanlığı Strateji ve Bütçe Başkanlığı, https://www.sbb.gov.tr/wp- content/uploads/2023/12/On-Ikinci-Kalkinma-Plani_2024-2028_11122023.pdf , (2023)."
35,1249355,20048152,46,,no_match,,,,,,,,,,,,,search:twitter 2022 hekimsen mayis basin aciklamasi 1526457625638051842 photo 2023,context,twitter 2022 hekimsen mayis basin aciklamasi 1526457625638051842 photo 2023,"Twitter. (2022). Hekimsen 17-18 Mayıs basın açıklaması. https://twitter.com/hekimsen/status /1526457625638051842/photo/2, (03.05.2023)."
39,1206982,18224388,67,,no_match,,,,,,,,,,,,,search:turkiye cumhuriyeti 2013 yabancilar uluslararasi koruma kanunu law 6458,context,turkiye cumhuriyeti 2013 yabancilar uluslararasi koruma kanunu law 6458,Türkiye Cumhuriyeti. (2013). Yabancılar ve Uluslararası Koruma Kanunu [Law No. 6458]. https://www.mevzuat.gov.tr/MevzuatMetin/1.5.6458.pdf
40,1206982,18224392,71,,no_match,,,,,,,,,,,,,search:turkiye cumhuriyeti 2021 cumhurbaskanligi kararnamesi,context,turkiye cumhuriyeti 2021 cumhurbaskanligi kararnamesi,Türkiye Cumhuriyeti. (2021). Cumhurbaşkanlığı Kararnamesi No. 85. https://www.resmigazete.gov.tr/eskiler/2021/11/20211129M1-1-4.pdf
44,1286621,21779113,9,,no_match,,,,,,,,,,,,,search:ken semerci 2023 turkiye bugday uretimi destekleme politikalari 3rd international congress turkish agriculture food science technology september 2023 malatya,context,ken semerci 2023 turkiye bugday uretimi destekleme politikalari 3rd international congress turkish agriculture food science technology september 2023 malatya,"Ken, E., & Semerci, A. (2023). Türkiye’de buğday üretimi ve destekleme politikaları. 3rd International Congress of the Turkish Journal of Agriculture - Food Science and Technology, 13-16 September 2023, Malatya, 54-63."
45,1286621,21779119,15,,no_match,,,,,,,,,,,,,search:semerci celik 2022 turkiye celtik uretiminde mazot gubre destegi uygulamasi canakkale ili ornegi cukurova 8th international scientific researches conference april adana 822 831,context,semerci celik 2022 turkiye celtik uretiminde mazot gubre destegi uygulamasi canakkale ili ornegi cukurova 8th international scientific researches conference april adana 822 831,"Semerci, A., & Çelik, A.D. (2022). Türkiye’de çeltik üretiminde mazot ve gübre desteği uygulaması: Çanakkale ili örneği. Çukurova 8th International Scientific Researches Conference, April 15-17, Adana, 822-831."
46,1331693,23886292,5,,no_match,,,,,,,,,,,,,search:diaz whitacre esquierdo ruiz escalante 2013 why did ask that question bilingual esl pre service teachers insights international instruction 163 176,context,diaz whitacre esquierdo ruiz escalante 2013 why did ask that question bilingual esl pre service teachers insights international instruction 163 176,"Diaz, Z., Whitacre, M., Esquierdo, J. J., & Ruiz-Escalante, J. A. (2013). Why did I ask that question? Bilingual/ESL pre-service teachers’ insights. International Journal of Instruction, 6(2), 163–176."
48,1331693,23886312,25,,no_match,,,,,,,,,,,,,search:milkova 2016 strategies effective lesson planning university michigan center research learning teaching,context,milkova 2016 strategies effective lesson planning university michigan center research learning teaching,"Milkova, S. (2016). Strategies for effective lesson planning. University of Michigan: Center for Research on Learning and Teaching. https://crlt.umich.edu/sites/default/files/instructor_resources/strategies_for_effective_lesson_planning.pdf"
49,1320153,23381983,76,,no_match,,,,,,,,,,,,,search:tickner 1999 searching princess feminist perspectives international relations harvard international,context,tickner 1999 searching princess feminist perspectives international relations harvard international,"Tickner, J. A. (1999). Searching for the princess?. Feminist perspectives in international relations, Harvard International Review, 21 (4), 44-48."
50,1320153,24622035,101,,no_match,,,,,,,,,,,,,search:rudaw gazetesi 2020 sengal katliami insanlik drami,context,rudaw gazetesi 2020 sengal katliami insanlik drami,Rudaw Gazetesi (03.08.2020). Şengal Katliamı: Bir insanlık dramı. https://www.rudaw.net/turkish/kurdistan/030820201
51,1188828,17270273,6,,no_match,,,,,,,,,,,,,search:becker 1977 housing messages dowden hutchinson ross,context,becker 1977 housing messages dowden hutchinson ross,"Becker, F. D. (1977). Housing messages. Dowden, Hutchinson & Ross."
53,1188828,17270319,52,,no_match,,,,,,,,,,,,,search:sarvari 2018 participatory planning providing conceptual model factors affecting children participation urban planning creative city design,context,sarvari 2018 participatory planning providing conceptual model factors affecting children participation urban planning creative city design,"Sarvari, H. (2018). Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning. Creative City Design, 1(1), 37–42."
54,1188828,17270326,59,,no_match,,,,,,,,,,,,,search:ward 1990 child country bedford square press,context,ward 1990 child country bedford square press,"Ward, C. (1990). The child in the country. Bedford Square Press."
56,1348445,24543843,10,,no_match,,,,,,,,,,,,,search:dogu ozgurel 2008 kalite fonksiyon gocerimi bireysel emeklilik sistemleri pazarlayan sigorta sirketlerinin teknik ozelliklerinin incelenmesi calisma isletme fakultesi,context,dogu ozgurel 2008 kalite fonksiyon gocerimi bireysel emeklilik sistemleri pazarlayan sigorta sirketlerinin teknik ozelliklerinin incelenmesi calisma isletme fakultesi,"Doğu, E. ve Özgürel, B. (2008). Kalite Fonksiyon Göçerimi ile bireysel emeklilik sistemleri pazarlayan sigorta şirketlerinin teknik özelliklerinin incelenmesi üzerine bir çalışma. İsletme Fakültesi Dergisi , 33-45."
57,1257490,20398368,3,,no_match,,,,,,,,,,,,,search:amerikan psikiyatri birligi 2014 tani olcutleri basvuru kitabi baski koroglu cev hyb yayinlari,context,amerikan psikiyatri birligi 2014 tani olcutleri basvuru kitabi baski koroglu cev hyb yayinlari,"Amerikan Psikiyatri Birliği. (2014). Tanı ölçütleri başvuru el kitabı (5. baskı, E. Köroğlu, Çev.). HYB Yayınları."
58,1257490,20398386,21,,no_match,,,,,,,,,,,,,search:buyukozturk 2002 sosyal bilimler veri analiz kitabi pegem yayincilik,context,buyukozturk 2002 sosyal bilimler veri analiz kitabi pegem yayincilik,"Büyüköztürk, Ş. (2002). Sosyal bilimler için veri analiz el kitabı. Pegem Yayıncılık."
65,1253700,20240148,49,,no_match,,,,,,,,,,,,,search:lohmann hans risultati una survey condotta nella penisola kazikli iasos caria nuovi studi ricerche parola del passato raffaella pierobon benoit napoli macchiaroli editore 2005 332 356,context,lohmann hans risultati una survey condotta nella penisola kazikli iasos caria nuovi studi ricerche parola del passato raffaella pierobon benoit napoli macchiaroli editore 2005 332 356,"Lohmann, Hans. “Risultati di una survey condotta nella penisola di Kazıklı,” Iasos e la Caria. Nuovi studi e ricerche (La Parola del Passato, 60/2-6). Ed. Raffaella Pierobon Benoit. Napoli: Macchiaroli Editore, 2005, 332-356."
70,1156170,17531545,3,,no_match,,,,,,,,,,,,,search:anadolu ajansi milli savunma bakani akar tacikistan cumhurbaskani rahman gorustu 2022,context,anadolu ajansi milli savunma bakani akar tacikistan cumhurbaskani rahman gorustu 2022,"ANADOLU AJANSI, “Milli Savunma Bakanı Akar Tacikistan’da Cumhurbaşkanı Rahman ile görüştü” https://www.aa.com.tr/tr/politika/milli-savunma-bakani-akar-tacikistanda-cumhurbaskani-rahman-ile-gorustu/2291528 , 05.08.2022"
71,1197104,17730825,23,,no_match,,,,,,,,,,,,,search:daldal 2016 neoliberazim finansallasma emek piyasalari emerging economies policy december 104,context,daldal 2016 neoliberazim finansallasma emek piyasalari emerging economies policy december 104,"Daldal, Ş. (2016) “Neoliberazim, Finansallaşma Ve Emek Piyasaları”, Journal Of Emerging Economies And Policy, 1 December, 85- 104."
73,1197104,17730863,61,,no_match,,,,,,,,,,,,,search:mandelbaum 1978 flexibility decision making exploration unification toronto department industrial engineering university toronto,context,mandelbaum 1978 flexibility decision making exploration unification toronto department industrial engineering university toronto,"Mandelbaum, M. (1978) Flexibility in Decision Making. An Exploration and Unification, Toronto: Department of Industrial Engineering, University of Toronto."
76,1287910,22427156,9,,no_match,,,,,,,,,,,,,search:martin 2013 asili adam weiwei nin tutuklanisi metis yayinlari istanbul,context,martin 2013 asili adam weiwei nin tutuklanisi metis yayinlari istanbul,"Martin, B. (2013). Asılı Adam Ai Weiwei’nin Tutuklanışı, Metis Yayınları, İstanbul."
77,1287910,22427162,15,,no_match,,,,,,,,,,,,,search:twomey 2018 ceramics collections exploring object engagement beyond known historic models clay practice westminster universitesi doktora tezi,context,twomey 2018 ceramics collections exploring object engagement beyond known historic models clay practice westminster universitesi doktora tezi,"Twomey, C. (2018). Ceramics Collections-Exploring Object Engagement Beyond The Known Historic Models of Clay Practice. Westminster Üniversitesi Doktora Tezi"
81,1209869,18378693,37,,no_match,,,,,,,,,,,,,search:yaprakli 2011 uluslararasi rekabet gucunu etkileyen makroekonomik faktorler turk imalat sanayi uygulama sosyal ekonomik arastirmalar 373 401,context,yaprakli 2011 uluslararasi rekabet gucunu etkileyen makroekonomik faktorler turk imalat sanayi uygulama sosyal ekonomik arastirmalar 373 401,"Yapraklı, S. (2011). Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama. Sosyal Ekonomik Araştırmalar Dergisi, 11(22), 373-401."
85,1313642,22974168,33,,no_match,,,,,,,,,,,,,search:2020 ekim climate change serious risk world risk poll,context,2020 ekim climate change serious risk world risk poll,"Ng, R. (2020, 27 Ekim). Climate Change: A Serious Risk. World Risk Poll. https://wrp.lrfoundation.org.uk/news/climate-change-a-serious-risk"
96,1332746,23940452,20,,no_match,,,,,,,,,,,,,search:errichiello drago 2020 employees intentions implement green practices hotels interaction green organizational climate environmental attitudes behaviors 13th annual conference euromed academy business business theory practice across industries,context,errichiello drago 2020 employees intentions implement green practices hotels interaction green organizational climate environmental attitudes behaviors 13th annual conference euromed academy business business theory practice across industries,"Errichiello, L., & Drago, C. (2020). Employees’ Intentions to Implement Green Practices in Hotels: The Interaction of Green Organizational Climate with Environmental Attitudes and Behaviors. 13th Annual Conference of the Euromed Academy of Business, Business Theory and Practice Across Industries and Markets. Palermo, Sicily, Italy."
97,1332746,23940469,37,,no_match,,,,,,,,,,,,,search:mohammad bibi karim durrani 2020 green human resource management practices organizational citizenship behavior environment interactive effects green passion international transaction engineering management applied sciences technologies,context,mohammad bibi karim durrani 2020 green human resource management practices organizational citizenship behavior environment interactive effects green passion international transaction engineering management applied sciences technologies,"Mohammad, N., Bibi, Z., Karim, J., & Durrani, D. (2020). Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion. International Transaction Journal of Engineering, Management & Applied Sciences & Technologies, 11(6), 1-10."
103,1263119,20632708,10,,no_match,,,,,,,,,,,,,search:predictors clinical outcomes permanent pacemaker implantation after transcatheter aortic valve replacement partner placement aortic transcatheter valves trial registry nazif 2015 jacc cardiovasc interv,tei,predictors clinical outcomes permanent pacemaker implantation after transcatheter aortic valve replacement partner placement aortic transcatheter valves trial registry nazif 2015 jacc cardiovasc interv,"10. Nazif TM, Dizon JM, Hahn RT, et al. Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry. JACC Cardiovasc Interv 2015;8(1 Pt A):60-9."
105,1207176,18230133,24,,no_match,,,,,,,,,,,,,search:demokrat haziran 1950 toprak ofisi hububat alimina basladi,context,demokrat haziran 1950 toprak ofisi hububat alimina basladi,Demokrat. (3 Haziran 1950). Toprak ofisi hububat alımına başladı. s. 1-2.
106,1207176,18230144,35,,no_match,,,,,,,,,,,,,search:demokrat kasim 1950 ciftcilerimizin kulturel kalkinmasi,context,demokrat kasim 1950 ciftcilerimizin kulturel kalkinmasi,Demokrat. (30 Kasım 1950). Çiftçilerimizin kültürel kalkınması. s. 1-2.
107,1207176,18230156,47,,no_match,,,,,,,,,,,,,search:demokrat ocak 1952 cukurova nin kalkinma davasi,context,demokrat ocak 1952 cukurova nin kalkinma davasi,Demokrat. (9 Ocak 1952). Çukurova’nın kalkınma davası. s. 1-2.
108,1275479,21189673,51,,no_match,,,,,,,,,,,,,search:marschner 1995 mineral nutrition higher plants 2nd edition academic press london 889p,context,marschner 1995 mineral nutrition higher plants 2nd edition academic press london 889p,"Marschner, H. (1995). Mineral nutrition of higher plants (2nd edition), Academic Press, London, 889p."
110,1185267,17118518,9,,no_match,,,,,,,,,,,,,search:cift salih misir bektasilik istanbul dergah yayinlari 2013,context,cift salih misir bektasilik istanbul dergah yayinlari 2013,"Çift, Salih. Mısır’da Bektaşilik. İstanbul: Dergâh Yayınları, 2013."
111,1185267,17118528,19,,no_match,,,,,,,,,,,,,search:kaygusuz abdal alaaddin gaybi ankara akcag yayinlari 2004,context,kaygusuz abdal alaaddin gaybi ankara akcag yayinlari 2004,"---. Kaygusuz Abdal (Alâaddin Gaybî). Ankara: Akçağ Yayınları, 2004."
112,1367552,25342298,41,,no_match,,,,,,,,,,,,,search:mekki ebi talib ebu muhammed hammus muhammed kaysi kesf vucuhi kira ati seb ileliha huceciha thk muhyiddin ramadan cilt beyrut muessesetu risale basim 1418 1997,context,mekki ebi talib ebu muhammed hammus muhammed kaysi kesf vucuhi kira ati seb ileliha huceciha thk muhyiddin ramadan cilt beyrut muessesetu risale basim 1418 1997,"Mekkî b. Ebî Tâlib, Ebû Muhammed b. Hammuş b. Muhammed el-Kaysî. el-Keşf ʻan vücûhi’l-kırâ’âti’s-sebʻ ve ʻilelihâ ve hucecihâ. thk. Muhyiddîn Ramadân. 2 Cilt. Beyrut: Müessesetü’r-Risâle, 5. Basım, 1418/1997."
116,1379811,25757006,47,,no_match,,,,,,,,,,,,,search:nesefi ebu muin meymun muhammed temid tebsiratu edille nsr claude salame cilt dimask institut francais damas 1990,context,nesefi ebu muin meymun muhammed temid tebsiratu edille nsr claude salame cilt dimask institut francais damas 1990,"Nesefî, Ebü’l-Muîn Meymûn b. Muhammed b. Mu‘temid. Tebṣıratü’l-edille. nşr. Claude Salame. 2 Cilt. Dımaşk: Institut Français de Damas, 1990."
117,1379811,25757028,69,,no_match,,,,,,,,,,,,,search:uludag suleyman temel tasavvufi kavramlar istanbul ketebe yayinlari 2021,context,uludag suleyman temel tasavvufi kavramlar istanbul ketebe yayinlari 2021,"Uludağ, Süleyman. Temel Tasavvufi Kavramlar. İstanbul: Ketebe Yayınları, 2021."
122,1328813,24656039,13,,no_match,,,,,,,,,,,,,search:see articles arsiwa,context,see articles arsiwa,"13 See Articles 21, 22, and 24 of ARSIWA."
124,1328813,24656098,72,,no_match,,,,,,,,,,,,,search:fact sheet president donald trump declares national emergency increase our com petitive edge protect our sovereignty strengthen our national economic security white house april 2025,context,fact sheet president donald trump declares national emergency increase our com petitive edge protect our sovereignty strengthen our national economic security white house april 2025,"72 “Fact Sheet: President Donald J. Trump Declares National Emergency to Increase our Com- petitive Edge, Protect our Sovereignty, and Strengthen our National and Economic Security,” The White House, April 2, 2025, https://www.whitehouse.gov/fact-sheets/2025/04/fact-sheet- president-donald-j-trump-declares-national-emergency-to-increase-our-competitive-edge- protect-our-sovereignty-and-strengthen-our-national-and-economic-security/ (Accessed: 27.05.2025)."
125,1258017,20526969,2,10.5923/j.ijit.20160501.05,no_match,,,,,,,,,,,,,search:alblehai 2016 utilization web tools saudi higher education opportunities challenges international internet things,context,alblehai 2016 utilization web tools saudi higher education opportunities challenges international internet things,"Alblehai, F. (2016). The utilization of Web 2.0 tools in Saudi Higher Education: Opportunities and challenges. International Journal of Internet of Things, 5(1), 37-40. http://doi.org/ 10.5923/j.ijit.20160501.05"
126,1258017,20526976,9,,no_match,,,,,,,,,,,,,search:bubas coric orehovacki 2011 june strategies implementation web tools academic education sozel sunum 17th european university information systems international congress dublin ireland,context,bubas coric orehovacki 2011 june strategies implementation web tools academic education sozel sunum 17th european university information systems international congress dublin ireland,"Bubas, G., Coric, A., ve Orehovacki, T. (2011, June). Strategies for implementation of Web 2.0 tools in academic education. [Sözel sunum]. 17th European University Information Systems International Congress, Dublin, Ireland."
127,1258017,20526986,19,,no_match,,,,,,,,,,,,,search:elmas geban 2012 web tools 21st century teachers international online educational sciences 243 254,context,elmas geban 2012 web tools 21st century teachers international online educational sciences 243 254,"Elmas, R., ve Geban, Ö. (2012). Web 2.0 tools for 21st century teachers. International Online Journal of Educational Sciences, 4(1), 243-254. https://www.ajindex.com/dosyalar/makale/acarindex-1423904346.pdf"
131,1241363,19728078,9,,no_match,,,,,,,,,,,,,search:demirtas 2011 futuvvet kavraminin kurumunun askeri siyasi mahiyeti ahilik uluslararasi sempozyumu 403 423,context,demirtas 2011 futuvvet kavraminin kurumunun askeri siyasi mahiyeti ahilik uluslararasi sempozyumu 403 423,"Demirtaş, F. (2011). Fütüvvet Kavramının/Kurumunun Askerî ve Siyasî Mahiyeti. Ahilik Uluslararası Sempozyumu, 403-423."
133,1220538,18788239,15,,no_match,,,,,,,,,,,,,search:darimi ebu muhammed abdullah abdurrahman sunen thk huseyin selim esed suudi arabistan daru mugni 2000,context,darimi ebu muhammed abdullah abdurrahman sunen thk huseyin selim esed suudi arabistan daru mugni 2000,"Dârimî, Ebû Muḥammed ʿAbdullah b. ʿAbdurrahmân. Sünen. thk. Ḥüseyin Selîm Esed. Suudi Arabistan: Dârü’l-Muġnî, 2000."
135,1298510,22301689,31,,no_match,,,,,,,,,,,,,search:norona arancibia amancha paucar gonzalez quilambaqui portilla delgado drying kinetics wheat barley maize grain italian food science 106 116 2018,context,norona arancibia amancha paucar gonzalez quilambaqui portilla delgado drying kinetics wheat barley maize grain italian food science 106 116 2018,"Noroña, D., Arancibia, M. Y., Amancha, P., Paucar, M., Gonzalez, O., Quilambaqui, M., Portilla, A., and Delgado, E., Drying kinetics of wheat, barley and maize grain. Italian Journal of Food Science, 106-116, (2018)."
139,1161423,16084284,22,,no_match,10.5281/zenodo.1110964,Parental Expectations And Student Performance In Secondary School Mathematics Education,Zenodo,2015,Text,https://zenodo.org/record/1110964,0.0551,0.0,0.2756,8,0.0,False,search:hooper coughlan mullen 2008 structural equation modelling guidelines determining model fit electronic business research methods,context,hooper coughlan mullen 2008 structural equation modelling guidelines determining model fit electronic business research methods,"Hooper, D., Coughlan, J., and Mullen, M. R. (2008). Structural equation modelling: Guidelines for determining model fit. Electronic journal of business research methods, 6(1), (pp. 53-60)."
140,1161423,16084293,31,,no_match,,,,,,,,,,,,,search:kenny reedy 2006 impact organisational culture factors innovation levels smes empirical investigation irish management,context,kenny reedy 2006 impact organisational culture factors innovation levels smes empirical investigation irish management,"Kenny, B., and Reedy, E. (2006). The impact of organisational culture factors on innovation levels in SMEs: An empirical investigation. Irish Journal of Management, 27(2). 1-17."
141,1343383,24345305,2,,no_match,10.5255/ukda-sn-7451-20,"Annual Business Survey, 2005-2023: Secure Access",UK Data Service,2026,Dataset,https://datacatalogue.ukdataservice.ac.uk/studies/study/7451#doi,0.2289,0.2857,0.359,7,0.0,False,search:anonymous 2023 access date 2023,context,anonymous 2023 access date 2023,Anonymous. (2023). https://www.fao.org/faostat/en/#home (Access date: 02.10.2023)
145,1350863,24806895,73,,no_match,,,,,,,,,,,,,search:kilic 2021 hukuksal aklin transhumanistik temsilleri onto robotik varolus formlari adalet,context,kilic 2021 hukuksal aklin transhumanistik temsilleri onto robotik varolus formlari adalet,"Kılıç, M. (2021). Hukuksal Aklın Transhümanistik Temsilleri Ve Onto- Robotik Varoluş Formları. Adalet Dergisi, 66, 15-54."
